DOI,cited_by_count,references_count
10.1109/cvpr.2016.90,56,0
10.1109/sp46214.2022.9833649,15,2
10.1145/3548606.3560675,10,1
10.1109/sp46214.2022.9833644,9,2
10.14722/ndss.2022.23054,7,2
10.1109/sp46214.2022.9833623,6,0
10.14722/ndss.2022.23156,6,0
10.1109/sp46215.2023.10179451,6,2
10.1145/3548606.3560557,5,2
10.1109/sp46214.2022.9833572,5,1
10.1109/sp46214.2022.9833677,5,1
10.1145/3548606.3560554,4,3
10.1109/sp46215.2023.10179303,4,2
10.1109/sp46214.2022.9833607,4,0
10.1109/sp46214.2022.9833579,4,0
10.1145/3548606.3560684,4,0
10.1109/sp46215.2023.10179281,3,7
10.1109/sp46214.2022.9833688,3,1
10.1109/sp46214.2022.9833693,3,2
10.1145/3548606.3560663,3,0
10.1109/sp46215.2023.10179334,3,5
10.1109/sp46214.2022.9833776,3,0
10.1109/sp46214.2022.9833806,3,1
10.1145/3576915.3616652,2,1
10.1109/sp46215.2023.10179422,2,2
10.14722/ndss.2024.23184,2,1
10.1145/3548606.3559359,2,0
10.14722/ndss.2022.23019,2,1
10.1109/sp54263.2024.00053,2,1
10.1109/sp46215.2023.10179336,2,0
10.1145/3548606.3559388,2,1
10.14722/ndss.2022.24012,2,0
10.1109/sp46214.2022.9833743,2,1
10.1109/sp46214.2022.9833659,2,0
10.1109/sp46214.2022.9833747,2,1
10.1145/3548606.3560705,1,0
10.48550/arxiv.2304.06607,1,0
10.1145/3576915.3623209,1,0
10.1145/3548606.3560580,1,1
10.14722/ndss.2022.24200,1,1
10.1145/3576915.3616617,1,2
10.1145/3548606.3559350,1,0
10.1145/3658644.3670370,1,1
10.1145/3548606.3560586,1,0
10.1145/3243734.3264418,1,0
10.48550/arxiv.2310.11970,1,0
10.1145/3548606.3559358,1,2
10.1145/3548606.3560671,1,0
10.1145/3576915.3623189,1,0
10.1109/sp46215.2023.10179291,1,5
10.1109/sp46215.2023.10179308,1,2
10.1109/sp46215.2023.10179347,1,4
10.1145/3548606.3560660,1,0
10.1145/3548606.3560644,1,0
10.1145/3548606.3560561,1,2
10.1109/satml54575.2023.00031,1,1
10.1109/sp46214.2022.9833641,1,0
10.1109/sp46214.2022.9833596,1,1
10.1109/sp46215.2023.10351028,1,1
10.48550/arxiv.2305.14097,1,0
10.14722/ndss.2024.23238,1,3
10.1109/sp46215.2023.10179383,1,1
10.1109/sp46215.2023.10179319,1,1
10.1109/sp46215.2023.10179468,1,2
10.1109/sp46215.2023.10179362,1,2
10.48550/arxiv.2305.07406,1,0
10.14722/ndss.2022.23064,1,1
10.1145/3576915.3616679,1,0
10.48550/arxiv.2310.08012,0,0
10.48550/arxiv.2405.20862,0,0
10.48550/arxiv.2308.01840,0,0
10.48550/arxiv.2308.14333,0,0
10.48550/arxiv.2310.02480,0,0
10.48550/arxiv.2403.02116,0,0
10.48550/arxiv.2301.10053,0,0
10.48550/arxiv.2306.06747,0,0
10.48550/arxiv.2406.03182,0,0
10.48550/arxiv.2405.20975,0,0
10.48550/arxiv.2310.15007,0,0
10.48550/arxiv.2301.13188,0,0
10.48550/arxiv.2402.18104,0,0
10.48550/arxiv.2306.08538,0,0
10.48550/arxiv.2401.09407,0,0
10.48550/arxiv.2401.00148,0,0
10.48550/arxiv.2303.08509,0,0
10.48550/arxiv.2210.06516,0,0
10.48550/arxiv.2401.03315,0,0
10.48550/arxiv.2310.12362,0,0
10.48550/arxiv.2406.06822,0,0
10.48550/arxiv.2402.13946,0,0
10.48550/arxiv.2311.00919,0,0
10.48550/arxiv.2406.15206,0,0
10.48550/arxiv.2303.14601,0,0
10.48550/arxiv.2403.18957,0,0
10.1121/10.0026829,0,0
10.48550/arxiv.2302.11408,0,0
10.48550/arxiv.2302.14500,0,0
10.48550/arxiv.2302.11982,0,0
10.48550/arxiv.2403.01268,0,0
10.48550/arxiv.2401.02880,0,0
10.48550/arxiv.2302.09491,0,0
10.48550/arxiv.2403.17336,0,0
10.48550/arxiv.2302.09923,0,0
10.1145/3610721,0,0
10.48550/arxiv.2312.09057,0,0
10.48550/arxiv.2402.14977,0,0
10.14722/ndss.2024.24920,0,1
10.14722/ndss.2023.23070,0,1
10.14722/ndss.2023.23165,0,1
10.14722/ndss.2023.23112,0,2
10.48550/arxiv.2301.06241,0,0
10.14722/ndss.2024.23380,0,1
10.48550/arxiv.2307.01610,0,0
10.48550/arxiv.2306.16614,0,0
10.48550/arxiv.2301.01197,0,0
10.14722/ndss.2023.24508,0,1
10.14722/ndss.2024.24188,0,3
10.48550/arxiv.2311.07780,0,0
10.14722/ndss.2024.23233,0,3
10.14722/ndss.2024.23216,0,0
10.14722/ndss.2024.241366,0,4
10.48550/arxiv.2401.00151,0,0
10.48550/arxiv.2312.03410,0,0
10.14722/ndss.2024.24450,0,1
10.48550/arxiv.2311.16940,0,0
10.48550/arxiv.2312.07861,0,0
10.14722/ndss.2024.241323,0,6
10.14722/ndss.2024.24374,0,2
10.14722/ndss.2024.24115,0,0
10.14722/ndss.2023.23171,0,0
10.14722/ndss.2023.23087,0,0
10.14722/ndss.2024.24334,0,0
10.48550/arxiv.2209.11715,0,0
10.48550/arxiv.2407.19216,0,0
10.48550/arxiv.2309.05610,0,0
10.48550/arxiv.2310.13076,0,0
10.48550/arxiv.2310.12665,0,0
10.48550/arxiv.2306.03235,0,0
10.48550/arxiv.2407.02886,0,0
10.48550/arxiv.2403.03590,0,0
10.48550/arxiv.2401.09740,0,0
10.48550/arxiv.2406.11707,0,0
10.48550/arxiv.2309.12955,0,0
10.48550/arxiv.2208.13058,0,0
10.14722/ndss.2022.24130,0,0
10.48550/arxiv.2205.06401,0,0
10.48550/arxiv.2203.05408,0,0
10.14722/ndss.2023.24874,0,1
10.14722/ndss.2023.24394,0,0
10.14722/ndss.2023.24103,0,1
10.48550/arxiv.2301.02905,0,0
10.48550/arxiv.2308.01040,0,0
10.14722/ndss.2024.23081,0,0
10.48550/arxiv.2311.07389,0,0
10.1109/tifs.2023.3295944,0,0
10.3390/rs15061690,0,1
10.1145/3576915.3623177,0,1
10.48550/arxiv.2204.02675,0,0
10.1109/sp54263.2024.00034,0,0
10.1109/sp54263.2024.00030,0,2
10.1109/sp54263.2024.00015,0,2
10.1109/sp54263.2024.00052,0,6
10.1109/sp54263.2024.00065,0,0
10.1109/sp54263.2024.00076,0,1
10.1109/sp54263.2024.00050,0,2
10.1109/sp54263.2024.00001,0,1
10.1109/sp54263.2024.00089,0,1
10.1109/sp54263.2024.00061,0,0
10.1109/sp54263.2024.00002,0,0
10.1109/sp54263.2024.00021,0,1
10.1109/sp54263.2024.00026,0,0
10.1109/sp46215.2023.10179300,0,1
10.1109/sp46215.2023.00109,0,0
10.1109/sp46215.2023.10179406,0,1
10.1109/sp46215.2023.10179446,0,0
10.1109/sp46215.2023.10179331,0,1
10.1109/sp46215.2023.10179401,0,4
10.1109/access.2024.3423323,0,4
10.1145/3548606.3560615,0,0
10.1145/3576915.3623175,0,1
10.1109/sp54263.2024.00072,0,1
10.1109/sp54263.2024.00031,0,4
10.1145/3576915.3623199,0,0
10.1109/sp54263.2024.00029,0,8
10.1109/sp46214.2022.9833648,0,0
10.1109/sp46214.2022.9833676,0,0
10.48550/arxiv.2204.04063,0,0
10.1109/sp46214.2022.9833672,0,0
10.1109/sp46215.2023.10179473,0,2
10.1109/sp46215.2023.10179375,0,2
10.1109/sp46215.2023.10179445,0,0
10.1109/sp46215.2023.10179351,0,0
10.1109/sp46215.2023.10179429,0,1
10.1109/sp46215.2023.10179360,0,0
10.1109/sp46215.2023.10179316,0,0
10.1109/sp46215.2023.10179379,0,1
10.1109/sp46215.2023.10179374,0,0
10.1109/sp46215.2023.10179400,0,3
10.1109/sp46215.2023.10179380,0,1
10.1109/sp46215.2023.10179387,0,0
10.1109/sp54263.2024.00006,0,0
10.1109/sp54263.2024.00010,0,0
10.1109/sp54263.2024.00068,0,2
10.1109/sp54263.2024.00056,0,2
10.1109/sp54263.2024.00008,0,2
10.1145/3576915.3623082,0,2
10.1145/3658644.3670382,0,0
10.1145/3658644.3690311,0,1
10.1145/3548606.3560678,0,0
10.1145/3576915.3623114,0,0
10.1145/3576915.3623100,0,0
10.1145/3658644.3690295,0,0
10.1145/3658644.3690304,0,7
10.1145/3658644.3690316,0,4
10.1145/3658644.3690346,0,0
10.1145/3658644.3690369,0,0
10.1145/3658644.3670388,0,0
10.1145/3658644.3690202,0,3
10.1145/3658644.3690205,0,0
10.1145/3658644.3690208,0,0
10.1145/3658644.3670386,0,0
10.1145/3658644.3690185,0,0
10.1145/3658644.3690194,0,0
10.1145/3658644.3690226,0,3
10.1145/3658644.3690238,0,0
10.1145/3658644.3690268,0,1
10.1145/3658644.3690327,0,3
10.1145/3658644.3690334,0,2
10.1145/3658644.3690335,0,6
10.1145/3658644.3690343,0,3
10.1145/3576915.3623093,0,2
10.1145/3548606.3560621,0,0
10.1145/3548606.3559335,0,0
10.1145/3548606.3560566,0,0
10.1145/3548606.3560573,0,0
10.1109/icdici62993.2024.10810807,0,0
10.1145/3576915.3623116,0,1
10.1145/3548606.3560683,0,0
10.1145/3576915.3616634,0,0
10.1145/3576915.3616653,0,0
10.1145/3658644.3690279,0,6
10.1145/3658644.3690291,0,2
10.1145/3658644.3690338,0,0
10.1145/3576915.3623117,0,2
10.1145/3576915.3623173,0,6
10.1145/3576915.3623134,0,0
10.1145/3576915.3623212,0,0
10.1145/3658644.3670293,0,0
10.1145/3658644.3670296,0,0
10.1145/3658644.3670307,0,3
10.1145/3658644.3670309,0,2
10.1145/3658644.3670365,0,0
10.1145/3658644.3690187,0,4
10.1145/3658644.3690292,0,1
10.1145/3576915.3623120,0,1
10.48550/arxiv.2311.11225,0,0
